mes_num,sen_mes,cos_mes,lag_1,pct_change,rolling_3,diff_1,tendencia,entidad_enc,real,pred,mes,entidad,error
10,-0.8660254037844386,0.5000000000000001,488.0,-0.010245901639344246,488.0,-5.0,10,1240.5611419051631,483,470.83413690476186,Octubre,Campeche,-12.165863095238137
10,-0.8660254037844386,0.5000000000000001,243.0,0.10288065843621408,255.33333333333334,25.0,10,1113.991509825933,268,263.76609722222224,Octubre,Tlaxcala,-4.233902777777757
5,0.49999999999999994,-0.8660254037844387,817.0,-0.08935128518971847,771.0,-73.0,8,1259.1211368261243,744,745.5913504689753,Mayo,Sinaloa,1.5913504689752926
10,-0.8660254037844386,0.5000000000000001,6106.0,0.03963314772355053,6344.666666666667,242.0,10,2409.714875730664,6348,6288.276774531022,Octubre,Ciudad de México,-59.723225468977944
7,-0.4999999999999997,-0.8660254037844388,352.0,-0.28125,334.0,-99.0,5,1244.1493777659207,253,344.79819264069266,Julio,Durango,91.79819264069266
5,0.49999999999999994,-0.8660254037844387,396.0,-0.20454545454545459,337.3333333333333,-81.0,8,1244.1493777659207,315,350.3270021645021,Mayo,Durango,35.32700216450212
12,-2.4492935982947064e-16,1.0,3574.0,-0.052322327923894796,3380.3333333333335,-187.0,2,2025.1280793072265,3387,3460.906744047619,Diciembre,Jalisco,73.90674404761921
3,1.0,6.123233995736766e-17,427.0,0.3021077283372364,479.0,129.0,7,1210.685717894838,556,528.4168244949494,Marzo,Guerrero,-27.583175505050576
10,-0.8660254037844386,0.5000000000000001,3033.0,-0.06165512693702602,2936.0,-187.0,10,1798.0184517808093,2846,2803.3795972222233,Octubre,Baja California,-42.62040277777669
3,1.0,6.123233995736766e-17,446.0,0.21748878923766823,467.0,97.0,7,1230.144757162619,543,525.5245923520922,Marzo,Baja California Sur,-17.475407647907787
7,-0.4999999999999997,-0.8660254037844388,6315.0,-0.03689627870150436,6296.0,-233.0,5,2409.714875730664,6082,6324.651538419911,Julio,Ciudad de México,242.65153841991105
6,1.2246467991473532e-16,-1.0,460.0,0.43695652173913047,558.0,201.0,6,1231.9691066735654,661,590.4857613775114,Junio,Coahuila de Zaragoza,-70.51423862248862
11,-0.5000000000000004,0.8660254037844384,173.0,0.08670520231213863,189.66666666666666,15.0,9,1147.557022364715,188,196.21930799755802,Noviembre,Chiapas,8.219307997558019
6,1.2246467991473532e-16,-1.0,412.0,0.08252427184466016,432.6666666666667,34.0,6,1230.144757162619,446,489.2755456349203,Junio,Baja California Sur,43.27554563492032
4,0.8660254037844387,-0.4999999999999998,0.0,0.0,0.0,0.0,0,2409.714875730664,6404,5655.5361758658,Abril,Ciudad de México,-748.4638241342
2,0.8660254037844386,0.5000000000000001,846.0,-0.14893617021276595,782.3333333333334,-126.0,4,1268.922576418931,720,728.9994655483404,Febrero,Tabasco,8.999465548340368
6,1.2246467991473532e-16,-1.0,10969.0,-0.02643814385996901,10701.666666666666,-290.0,6,3922.267759793309,10679,10376.510057539681,Junio,México,-302.48994246031907
6,1.2246467991473532e-16,-1.0,2331.0,0.01844701844701846,2445.0,43.0,6,1754.5999035511484,2374,2591.2045918109666,Junio,Guanajuato,217.20459181096658
3,1.0,6.123233995736766e-17,1290.0,-0.025581395348837188,1324.0,-33.0,7,1410.5835974506222,1257,1346.3103823398824,Marzo,San Luis Potosí,89.31038233988238
6,1.2246467991473532e-16,-1.0,149.0,-0.13422818791946312,132.0,-20.0,6,1083.1156612426948,129,145.4964801587302,Junio,Nayarit,16.496480158730208
8,-0.8660254037844385,-0.5000000000000004,6404.0,-0.03763272954403496,0.0,-241.0,1,2409.714875730664,6163,6191.376899531023,Agosto,Ciudad de México,28.3768995310229
7,-0.4999999999999997,-0.8660254037844388,820.0,0.1499999999999999,913.3333333333334,123.0,5,1338.764502505705,943,1005.6571329365081,Julio,Aguascalientes,62.657132936508106
5,0.49999999999999994,-0.8660254037844387,1056.0,-0.11458333333333337,997.0,-121.0,8,1334.136885381298,935,956.6928174603177,Mayo,Michoacán de Ocampo,21.692817460317656
11,-0.5000000000000004,0.8660254037844384,493.0,-0.010141987829614618,500.3333333333333,-5.0,9,1240.5611419051631,488,488.38219841269836,Noviembre,Campeche,0.38219841269835797
11,-0.5000000000000004,0.8660254037844384,2779.0,-0.09859661748830517,2677.0,-274.0,9,1737.3069565162714,2505,2603.67326388889,Noviembre,Puebla,98.67326388888978
